No,Model,Optimizer,Activation,Time Steps,Dropout Rate,MSE,RMSE,MAE,MAPE
192,cnn_rmsprop_tanh_ts5_d20,rmsprop,tanh,5,0.2,0.72232,0.84989,0.70699,2.73959
193,cnn_rmsprop_tanh_ts10_d1,rmsprop,tanh,10,0.01,0.55606,0.74569,0.56674,2.25307
194,cnn_rmsprop_tanh_ts10_d5,rmsprop,tanh,10,0.05,0.59877,0.77380,0.64233,2.49113
195,cnn_rmsprop_tanh_ts10_d10,rmsprop,tanh,10,0.1,0.33386,0.57781,0.42406,1.67464
196,cnn_rmsprop_tanh_ts10_d15,rmsprop,tanh,10,0.15,0.38992,0.62443,0.46774,1.83694
197,cnn_rmsprop_tanh_ts10_d20,rmsprop,tanh,10,0.2,0.49792,0.70563,0.54519,2.11917
198,cnn_rmsprop_tanh_ts15_d1,rmsprop,tanh,15,0.01,0.46448,0.68153,0.52496,2.06533
199,cnn_rmsprop_tanh_ts15_d5,rmsprop,tanh,15,0.05,0.49351,0.70251,0.53414,2.09464
200,cnn_rmsprop_tanh_ts15_d10,rmsprop,tanh,15,0.1,0.65615,0.81003,0.63967,2.47015
201,cnn_rmsprop_tanh_ts15_d15,rmsprop,tanh,15,0.15,0.51430,0.71714,0.54652,2.12296
202,cnn_rmsprop_tanh_ts15_d20,rmsprop,tanh,15,0.2,0.97098,0.98539,0.82821,3.19426
203,cnn_rmsprop_sigmoid_ts5_d1,rmsprop,sigmoid,5,0.01,0.51123,0.71500,0.56828,2.22413
204,cnn_rmsprop_sigmoid_ts5_d5,rmsprop,sigmoid,5,0.05,0.54929,0.74114,0.57706,2.29684
205,cnn_rmsprop_sigmoid_ts5_d10,rmsprop,sigmoid,5,0.1,0.57386,0.75754,0.60718,2.38148
206,cnn_rmsprop_sigmoid_ts5_d15,rmsprop,sigmoid,5,0.15,0.71036,0.84283,0.68433,2.65577
207,cnn_rmsprop_sigmoid_ts5_d20,rmsprop,sigmoid,5,0.2,0.78199,0.88430,0.67915,2.71529
208,cnn_rmsprop_sigmoid_ts10_d1,rmsprop,sigmoid,10,0.01,0.69090,0.83120,0.66824,2.58584
209,cnn_rmsprop_sigmoid_ts10_d5,rmsprop,sigmoid,10,0.05,0.61040,0.78128,0.60369,2.39989
210,cnn_rmsprop_sigmoid_ts10_d10,rmsprop,sigmoid,10,0.1,0.79752,0.89304,0.72183,2.78854
211,cnn_rmsprop_sigmoid_ts10_d15,rmsprop,sigmoid,10,0.15,0.63805,0.79878,0.62183,2.45447
212,cnn_rmsprop_sigmoid_ts10_d20,rmsprop,sigmoid,10,0.2,0.66630,0.81627,0.63959,2.51827
213,cnn_rmsprop_sigmoid_ts15_d1,rmsprop,sigmoid,15,0.01,0.97276,0.98629,0.81678,3.14509
214,cnn_rmsprop_sigmoid_ts15_d5,rmsprop,sigmoid,15,0.05,0.63243,0.79525,0.62652,2.44824
215,cnn_rmsprop_sigmoid_ts15_d10,rmsprop,sigmoid,15,0.1,0.75535,0.86911,0.68138,2.70917
216,cnn_rmsprop_sigmoid_ts15_d15,rmsprop,sigmoid,15,0.15,0.75574,0.86933,0.69713,2.69887
217,cnn_rmsprop_sigmoid_ts15_d20,rmsprop,sigmoid,15,0.2,0.65014,0.80631,0.62356,2.45996
218,gru_adam_relu_ts5_d0,adam,relu,5,0,2.91913,1.70855,1.09507,4.29132
219,gru_adam_relu_ts10_d0,adam,relu,10,0,0.62064,0.78781,0.58368,2.26844
220,gru_adam_relu_ts15_d0,adam,relu,15,0,0.31467,0.56096,0.42546,1.66087
221,gru_adam_tanh_ts5_d0,adam,tanh,5,0,0.39497,0.62847,0.49129,1.91232
222,gru_adam_tanh_ts10_d0,adam,tanh,10,0,0.32754,0.57231,0.42913,1.68211
223,gru_adam_tanh_ts15_d0,adam,tanh,15,0,0.37114,0.60921,0.45462,1.77606
224,gru_adam_sigmoid_ts5_d0,adam,sigmoid,5,0,0.31803,0.56394,0.42722,1.68949
225,gru_adam_sigmoid_ts10_d0,adam,sigmoid,10,0,0.39942,0.63199,0.50609,1.97235
226,gru_adam_sigmoid_ts15_d0,adam,sigmoid,15,0,0.35781,0.59817,0.44439,1.76402
227,gru_adagrad_relu_ts5_d0,adagrad,relu,5,0,0.61590,0.78479,0.60326,2.36472
228,gru_adagrad_relu_ts10_d0,adagrad,relu,10,0,0.63726,0.79829,0.61083,2.38655
229,gru_adagrad_relu_ts15_d0,adagrad,relu,15,0,0.60276,0.77638,0.60110,2.35011
230,gru_adagrad_tanh_ts5_d0,adagrad,tanh,5,0,0.71390,0.84492,0.65151,2.54153
